Month,Start Date,End Date,Duration,Time,Event,Location,Partner/Promo,SEM Needs,Marketing Start Date,Expected Attendance,Target Garage,MG Landing Page,Event Website,Partner Rates,Total Comp Validations,12 Drive-Up,24 Drive-Up,MG/Parking.Com Rate,Spothero Rate,Parkwhiz Rate,Notes
January,"Mon, Jan 2","Mon, Jan 2", 1 ,-,New Year's Day (Observed),,,,,,,,,,,,,,,,
January,"Sat, Jan 14","Sat, Jan 14", 1 ,7:30 PM,Tan Dun: Yi2 & Crouching Tiger Concerto,Harris Theater,,,,,,,https://my.harristheaterchicago.org/9928/9932,,,,,,,,
January,"Mon, Jan 16","Mon, Jan 16", 1 ,-,"Martin Luther King Jr., Day (Federal)",,,,,,,,,,,,,,,,
January,"Tue, Jan 17","Tue, Jan 17", 1 ,7:30 PM,Youthful Genius,Harris Theater,,,,,,,https://my.harristheaterchicago.org/9861/9868,,,,,,,,
January,"Sat, Jan 21","Sat, Jan 21", 1 ,7:30 PM,Montero Plays Mozart,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/montero-plays-mozart,,,,,,,,
January,"Sun, Jan 22","Sun, Jan 22", 1 ,-,Lunar New Year,,,,,,,,,,,,,,,,
February,"Thu, Feb 2","Thu, Feb 2", 1 ,-,Groundhog Day (observed),,,,,,,,,,,,,,,,
February,"Fri, Feb 3","Fri, Feb 3", 1 ,7:00 PM,The Factotum,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/factotum,,,,,,,,
February,"Sun, Feb 5","Sun, Feb 5", 1 ,2:00 PM,The Factotum,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/factotum,,,,,,,,
February,"Wed, Feb 8","Wed, Feb 8", 1 ,7:00 PM,The Factotum,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/factotum,,,,,,,,
February,"Thu, Feb 9","Thu, Feb 9", 1 ,7:30 PM,Shani Conducts Rachmaninov Symphonic Dances,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/shani-conducts-rachmaninov-symphonic-dances/,,,,,,,,
February,"Fri, Feb 10","Fri, Feb 10", 1 ,7:00 PM,The Factotum,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/factotum,,,,,,,,
February,"Fri, Feb 10","Fri, Feb 10", 1 ,8:00 PM,Shani Conducts Rachmaninov Symphonic Dances,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/shani-conducts-rachmaninov-symphonic-dances/,,,,,,,,
February,"Sat, Feb 11","Sat, Feb 11", 1 ,7:00 PM,Sarah Silverman,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2023-sarah-silverman/07005D7EA6872BD8,,,,,,,,
February,"Sat, Feb 11","Sat, Feb 11", 1 ,7:30 PM,Les Ballets Trockadero de Monte Carlo,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/3837,,,,,,,,
February,"Sat, Feb 11","Sat, Feb 11", 1 ,8:00 PM,Shani Conducts Rachmaninov Symphonic Dances,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/shani-conducts-rachmaninov-symphonic-dances/,,,,,,,,
February,"Sun, Feb 12","Sun, Feb 12", 1 ,2:00 PM,The Factotum,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/factotum,,,,,,,,
February,"Sun, Feb 12","Sun, Feb 12", 1 ,-,Super Bowl,,,,,,,,,,,,,,,,
February,"Mon, Feb 13","Mon, Feb 13", 1 ,8:00 PM,Parisian Perspectives,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/civic-orchestra/civic-orchestra-parisian-perspectives/,,,,,,,,
February,"Mon, Feb 13","Mon, Feb 13", 1 ,7:30 PM,Beyond the Aria: Program III,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/beyond-aria-program-iii,,,,,,,,
February,"Tue, Feb 14","Tue, Feb 14", 1 ,5:30 PM,Get Lit: Down with Love,American Writers Museum,,,,,,,https://americanwritersmuseum.org/program-calendar/get-lit-down-with-love/,,,,,,,,
February,"Tue, Feb 14","Tue, Feb 14", 1 ,8:00 PM,Toronto Symphony Orchestra,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-orchestras/toronto-symphony-orchestra/,,,,,,,,
February,"Tue, Feb 14","Tue, Feb 14", 1 ,8:00 PM,Dita Von Teese,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2023-dita-von-teese/07005D27D1DC2E30,,,,,,,,
February,"Tue, Feb 14","Tue, Feb 14", 1 ,-,Valentine's Day,,,,,,,,,,,,,,,,
February,"Wed, Feb 15","Sun, Mar 5", 18 ,various,Les Misérables,Cadillac Palace Theatre,,,,,,,https://www.broadwayinchicago.com/show/les-miserables-2023/,,,,,,,,
February,"Thu, Feb 16","Thu, Feb 16", 1 ,7:30 PM,Mäkelä Conducts López Bellido & Mahler 5,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/makela-conducts-lopez-and-mahler-5/,,,,,,,,
February,"Fri, Feb 17","Fri, Feb 17", 1 ,10am to 5 pm,Member Preview: Salvador Dalí—The Image Disappears,Art Institute of Chicago,,,,,,,https://www.artic.edu/events/5576/member-preview-salvador-dali-the-image-disappears,,,,,,,,
February,"Fri, Feb 17","Fri, Feb 17", 1 ,1:30 PM,Mäkelä Conducts López Bellido & Mahler 5,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/makela-conducts-lopez-and-mahler-5/,,,,,,,,
February,"Fri, Feb 17","Fri, Feb 17", 1 ,8:00 PM,The Deck Investigates With Ashley Flowers,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2023-the-deck-investigates-with-ashley-flowers/07005D82922B2E92,,,,,,,,
February,"Sat, Feb 18","Sat, Feb 18", 1 ,7:30 PM,Tank and The Bangas with Chicago Philharmonic,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/4130,,,,,,,,
February,"Sat, Feb 18","Sat, Feb 18", 1 ,8:00 PM,Mäkelä Conducts López Bellido & Mahler 5,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/makela-conducts-lopez-and-mahler-5/,,,,,,,,
February,"Sat, Feb 18","Sat, Feb 18", 1 ,8:00 PM,Vance Joy,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2023-vance-joy/07005CC2B2AF6443,,,,,,,,
February,"Sat, Feb 18","Mon, Jun 12", 114 ,various,Salivador Dali Exhibit Opens,Art Institute of Chicago,,,,,,,https://www.artic.edu/exhibitions/9713/salvador-dali-the-image-disappears?utm_medium=email&utm_source=enews&utm_campaign=nonmember&utm_content=enews-feb-non-web-01-31-23,,,,,,,,
February,"Sun, Feb 19","Sun, Feb 19", 1 ,1:00 PM,Dark Testament: Blackout Poems with Crystal Simone Smith,American Writers Museum,,,,,,,https://americanwritersmuseum.org/program-calendar/dark-testament-blackout-poems-with-crystal-simone-smith/,,,,,,,,
February,"Mon, Feb 20","Mon, Feb 20", 1 ,7:00 PM,CSO MusicNOW: Inspiring Voices with Casarrubios & Golijov,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-musicnow/csomusicnow-3/,,,,,,,,
February,"Mon, Feb 20","Mon, Feb 20", 1 ,-,President's Day (Federal),,,,,,,,,,,,,,,,
February,"Tue, Feb 21","Sun, Feb 26", 5 ,Various,Cats,James M. Nederlander Theatre,,,,,,,https://www.broadwayinchicago.com/show/cats-2023/,,,,,,,,
February,"Thu, Feb 23","Thu, Feb 23", 1 ,6:00 PM,Dark Testament: Blackout Poems with Crystal Simone Smith,American Writers Museum,,,,,,,https://americanwritersmuseum.org/program-calendar/clarence-lusane-twenty-dollars-and-change/,,,,,,,,
February,"Thu, Feb 23","Thu, Feb 23", 1 ,7:30 PM,"Muti, Fischer & Tchaikovsky Manfred",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/muti-fischer-and-tchaikovsky-manfred/,,,,,,,,
February,"Thu, Feb 23","Thu, Feb 23", 1 ,7:30 PM,John Neumeier's The Glass Menagerie,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/theglassmenagerie,,,,,,,,
February,"Fri, Feb 24","Fri, Feb 24", 1 ,1:30 PM,"Muti, Fischer & Tchaikovsky Manfred",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/muti-fischer-and-tchaikovsky-manfred/,,,,,,,,
February,"Fri, Feb 24","Fri, Feb 24", 1 ,7:30 PM,John Neumeier's The Glass Menagerie,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/theglassmenagerie,,,,,,,,
February,"Fri, Feb 24","Fri, Feb 24", 1 ,8:00 PM,Obsessed Presents The Bald and the Beautiful with Trixie Mattel and Katya Zamo,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/4243,,,,,,,,
February,"Fri, Feb 24","Fri, Feb 24", 1 ,8:00 PM,Jack Whitehall,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2023-jack-whitehall/07005D88B8152EE5,,,,,,,,
February,"Sat, Feb 25","Sat, Feb 25", 1 ,2:00 PM,John Neumeier's The Glass Menagerie,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/theglassmenagerie,,,,,,,,
February,"Sat, Feb 25","Sat, Feb 25", 1 ,7:00 PM,Chris D'Elia,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-february-2023-chris-delia/07005D46EAD05BD4,,,,,,,,
February,"Sat, Feb 25","Sat, Feb 25", 1 ,8:00 PM,"Muti, Fischer & Tchaikovsky Manfred",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/muti-fischer-and-tchaikovsky-manfred/,,,,,,,,
February,"Sun, Feb 26","Sun, Feb 26", 1 ,3:00 PM,Marc-André Hamelin,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-piano/marc-andre-hamelin/,,,,,,,,
February,"Sun, Feb 26","Sun, Feb 26", 1 ,7:00 PM,"Kauffman Center: Muti, Fischer & Tchaikovsky Manfred",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-on-tour/kauffman-center-muti-fischer-tchaikovsky-manfred/,,,,,,,,
February,"Mon, Feb 27","Mon, Feb 27", 1 ,7:30 PM,Music of the Baroque: London Calling,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/london-calling,,,,,,,,
February,"Tue, Feb 28","Sun, Mar 12", 12 ,Various,1776,CIBC Theatre,,,,,,,https://www.broadwayinchicago.com/show/1776/,,,,,,,,
March,"Wed, Mar 1","Wed, Mar 1", 1 ,7:30 PM,Great Sonatas,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/great-sonatas,,,,,,,,
March,"Thu, Mar 2","Thu, Mar 2", 1 ,8:00 PM,Joshua Bell & Daniil Trifonov,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-chamber/joshua-bell-and-daniil-trifonov/,,,,,,,,
March,"Fri, Mar 3","Fri, Mar 3", 1 ,6:00 PM,Kingdom Choir,Harris Theater,,,,,,,https://www.harristheaterchicago.org/Kingdom-choir/mix,,,,,,,,
March,"Sat, Mar 4","Sat, Mar 4", 1 ,2:00 PM,The Kingdom Choir Family Matinee,Harris Theater,,,,,,,https://www.harristheaterchicago.org/kingdom-choir/family,,,,,,,,
March,"Sat, Mar 4","Sat, Mar 4", 1 ,8:00 PM,Pink Martini featuring China Forbes,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-specials/pink-martini/,,,,,,,,
March,"Sat, Mar 4","Sat, Mar 4", 1 ,8:00 PM,Ja Rule & Ashanti,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-ja-rule-ashanti/07005D54F37C4530,,,,,,,,
March,"Sun, Mar 5","Sun, Mar 5", 1 ,3:00 PM,Kodo One Earth Tour 2023: Tsuzumi,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-specials/kodo-one-earth-tour/,,,,,,,,
March,"Mon, Mar 6","Mon, Mar 6", 1 ,7:00 PM,Civic at Senn High School: Montgomery & Shostakovich,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/civic-orchestra/civic-at-senn-high-school/,,,,,,,,
March,"Mon, Mar 6","Mon, Mar 6", 1 ,-,Casimir Pulaski Day,,,,,,,,,,,,,,,,
March,"Tue, Mar 7","Tue, Mar 7", 1 ,6:30 PM,Civitas Ensemble at Symphony Center,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-chamber/civitas-ensemble-mar-7-2023/,,,,,,,,
March,"Tue, Mar 7","Sun, Mar 19", 12 ,Various,Annie,Cadillac Palace Theatre,,,,,,,https://www.broadwayinchicago.com/show/annie-2023/,,,,,,,,
March,"Wed, Mar 8","Wed, Mar 8", 1 ,6:00 PM,Alvin Ailey American Dance Theater,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/3840,,,,,,,,
March,"Wed, Mar 8","Wed, Mar 8", 1 ,6:00 PM,Meklit,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/meklit,,,,,,,,
March,"Thu, Mar 9","Thu, Mar 9", 1 ,7:30 PM,Alvin Ailey American Dance Theater,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/3840,,,,,,,,
March,"Thu, Mar 9","Thu, Mar 9", 1 ,7:30 PM,Blomstedt Conducts Dvořák 8,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/blomstedt-conducts-dvorak-8/,,,,,,,,
March,"Fri, Mar 10","Fri, Mar 10", 1 ,7:30 PM,Alvin Ailey American Dance Theater,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/3840,,,,,,,,
March,"Fri, Mar 10","Fri, Mar 10", 1 ,8:00 PM,Maria Schneider Orchestra: Data Lords,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-jazz/maria-schneider-orchestra-data-lords/,,,,,,,,
March,"Sat, Mar 11","Sat, Mar 11", 1 ,"2:00 PM, 8:00 PM",Alvin Ailey American Dance Theater,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/3840,,,,,,,,
March,"Sat, Mar 11","Sat, Mar 11", 1 ,8:00 PM,Blomstedt Conducts Dvořák 8,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/blomstedt-conducts-dvorak-8/,,,,,,,,
March,"Sat, Mar 11","Sat, Mar 11", 1 ,-,St. Patrick's Day Parade,Riverwalk,,,,,,,,,,,,,,,
March,"Sun, Mar 12","Sun, Mar 12", 1 ,3:00 PM,Alvin Ailey American Dance Theater,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/3840,,,,,,,,
March,"Sun, Mar 12","Sun, Mar 12", 1 ,3:00 PM,Blomstedt Conducts Dvořák 8,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/blomstedt-conducts-dvorak-8/,,,,,,,,
March,"Mon, Mar 13","Mon, Mar 13", 1 ,8:00 PM,Civic Orchestra Brass and Percussion,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/civic-orchestra/civic-orchestra-brass-and-percussion/,,,,,,,,
March,"Tue, Mar 14","Tue, Mar 14", 1 ,5:30 PM,Get (Chick) Lit: Women Writers,American Writers Museum,,,,,,,https://americanwritersmuseum.org/program-calendar/get-lit-women-writers/,,,,,,,,
March,"Tue, Mar 14","Tue, Mar 14", 1 ,7:30 PM,Jay Shetty,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-jay-shetty/07005D7DAB9F2B89,,,,,,,,
March,"Tue, Mar 14","Sun, Apr 2", 19 ,Various,TINA – The Tina Turner Musical,James M. Nederlander Theatre,,,,,,,https://www.broadwayinchicago.com/show/tina-the-tina-turner-musical/,,,,,,,,
March,"Thu, Mar 16","Thu, Mar 16", 1 ,7:30 PM,Carmina burana,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/carmina-burana/,,,,,,,,
March,"Fri, Mar 17","Fri, Mar 17", 1 ,1:30 PM,Carmina burana,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/carmina-burana/,,,,,,,,
March,"Fri, Mar 17","Fri, Mar 17", 1 ,8:00 PM,Tedeschi Trucks Band,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-tedeschi-trucks-band/07005D62A11F2E42,,,,,,,,
