Month,Start Date,End Date,Duration,Time,Event,Location,,Event Type,Tier,Target Garage,Partner / Agreement,Recurring,Event Website,MG Landing Page,Marketing Start Date,Expected Attendance,SEM Needs,Contact,Partner Rates,Total Comp Validations,12 Hr Drive-Up,24 Hr Drive-Up,MG/Parking.Com Rate,Spothero Rate,Parkwhiz Rate,Notes
January,"Mon, Jan 1","Mon, Apr 8", 98 ,Various,New Exhibit: Picasso: Drawing from Life,Art Institute of Chicago,Art Institute of Chicago,Performance,Tier 3,,,,https://www.artic.edu/exhibitions/10095/picasso-drawing-from-life,,,,,,,,,,,,,
January,"Mon, Jan 1","Sun, Jan 28", 27 ,various,Hamilton,James M. Nederlander Theatre,Broadway In Chicago,Performance,Tier 3,,,,https://www.broadwayinchicago.com/show/hamilton-2023/,,,,,,,,,,,,,
January,"Mon, Jan 1","Mon, Jan 1", 1 ,-,New Year's Day (Observed),-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
January,"Wed, Jan 3","Wed, Jan 3", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
January,"Sun, Jan 7","Sun, Jan 7", 1 ,"2:30 PM, 7:30 PM",Genshin Concert,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/rentals/genshin-concert/,,,,,,,,,,,,,
January,"Mon, Jan 8","Mon, Jan 8", 1 ,7:30 PM,New World Perspectives,Chicago Symphony Orchestra,Chicago Symphony Orchestra,Performance,Tier 3,,,,https://cso.org/performances/23-24/civic-orchestra/civic-new-world-perspectives/,,,,,,,,,,,,,
January,"Wed, Jan 10","Wed, Jan 10", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
January,"Fri, Jan 12","Fri, Jan 12", 1 ,"7 PM, 10 PM",Hasan Minhaj,Chicago Theatre,-,Performance,Tier 3,,,,https://www.msg.com/calendar/the-chicago-theatre-january-2024-hasan-minhaj/07005F6BC38C4234,,,,,,,,,,,,,
January,"Sat, Jan 13","Sat, Jan 13", 1 ,7:30 PM,Terence Blanchard: Film Scores LIVE!,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/terence-blanchard/,,,,,,,,,,,,,
January,"Mon, Jan 15","Mon, Jan 15", 1 ,7:30 PM,Chicago Sinfonietta presents PULSE,Auditorium Theatre,Auditorium Theatre,Performance,Tier 3,,,,https://auditoriumtheatre.org/events-details/chicago-sinfonietta-presents-pulse/,,,,,,,,,,,,,
January,"Mon, Jan 15","Mon, Jan 15", 1 ,-,"Martin Luther King Jr., Day (Federal)",-,-,Holiday,Tier 4,,,,,,,,,,,,,,,,,
January,"Wed, Jan 17","Wed, Jan 17", 1 ,9 AM - 5 PM,Field Museum free days,Field Museum,-,Community,,,,,https://www.nbcchicago.com/news/local/chicago-free-museum-days-for-summer-2024-shedd-aquarium-chicago-botanic-garden-and-more/3449211/,,,,,,,,,,,,,
