Date,Day,Predicted_Revenue
2025-07-30,Wednesday,72953.4
2025-07-31,Thursday,80092.28
2025-08-01,Friday,88831.04
2025-08-02,Saturday,136892.28
2025-08-03,Sunday,116592.44
2025-08-04,Monday,75114.33
2025-08-05,Tuesday,67311.49
2025-08-06,Wednesday,72953.4
2025-08-07,Thursday,80092.28
2025-08-08,Friday,88831.04
2025-08-09,Saturday,136892.28
2025-08-10,Sunday,116592.44
2025-08-11,Monday,75114.33
2025-08-12,Tuesday,67311.49
2025-08-13,Wednesday,72953.4
2025-08-14,Thursday,80092.28
2025-08-15,Friday,88831.04
2025-08-16,Saturday,136892.28
2025-08-17,Sunday,116592.44
2025-08-18,Monday,75114.33
2025-08-19,Tuesday,67311.49
2025-08-20,Wednesday,72953.4
2025-08-21,Thursday,80092.28
2025-08-22,Friday,88831.04
2025-08-23,Saturday,136892.28
2025-08-24,Sunday,116592.44
2025-08-25,Monday,75114.33
2025-08-26,Tuesday,67311.49
2025-08-27,Wednesday,72953.4
2025-08-28,Thursday,80092.28
