Date,Day,Predicted_Revenue
2025-07-27,Sunday,1800.0
2025-07-28,Monday,2302.4
2025-07-29,Tuesday,2302.4
2025-07-30,Wednesday,2302.4
2025-07-31,Thursday,2302.4
2025-08-01,Friday,2302.4
2025-08-02,Saturday,2428.0
2025-08-03,Sunday,1800.0
2025-08-04,Monday,2302.4
2025-08-05,Tuesday,2302.4
2025-08-06,Wednesday,2302.4
2025-08-07,Thursday,2302.4
2025-08-08,Friday,2302.4
2025-08-09,Saturday,2428.0
2025-08-10,Sunday,1800.0
2025-08-11,Monday,2302.4
2025-08-12,Tuesday,2302.4
2025-08-13,Wednesday,2302.4
2025-08-14,Thursday,2302.4
2025-08-15,Friday,2302.4
2025-08-16,Saturday,2428.0
2025-08-17,Sunday,1800.0
2025-08-18,Monday,2302.4
2025-08-19,Tuesday,2302.4
2025-08-20,Wednesday,2302.4
2025-08-21,Thursday,2302.4
2025-08-22,Friday,2302.4
2025-08-23,Saturday,2428.0
2025-08-24,Sunday,1800.0
2025-08-25,Monday,2302.4
