date,predicted_revenue,model_used,lower_bound,upper_bound
2025-08-01,3656.3179765207965,Gradient Boosting,-4767.516056825603,12080.152009867197
2025-08-02,3903.248237013841,Gradient Boosting,-4520.58579633256,12327.08227036024
2025-08-03,3903.248237013841,Gradient Boosting,-4520.58579633256,12327.08227036024
2025-08-04,4217.484978905984,Gradient Boosting,-4206.349054440417,12641.319012252385
2025-08-05,1947.5698721748252,Gradient Boosting,-6476.264161171575,10371.403905521225
2025-08-06,4132.067320897333,Gradient Boosting,-4291.766712449067,12555.901354243733
2025-08-07,3977.5096006647414,Gradient Boosting,-4446.324432681658,12401.343634011142
2025-08-08,3984.4192320434195,Gradient Boosting,-4439.414801302981,12408.25326538982
2025-08-09,4231.349492536463,Gradient Boosting,-4192.484540809937,12655.183525882863
2025-08-10,4231.349492536463,Gradient Boosting,-4192.484540809937,12655.183525882863
2025-08-11,4217.484978905984,Gradient Boosting,-4206.349054440417,12641.319012252385
2025-08-12,1947.5698721748252,Gradient Boosting,-6476.264161171575,10371.403905521225
2025-08-13,4132.067320897333,Gradient Boosting,-4291.766712449067,12555.901354243733
2025-08-14,3977.5096006647414,Gradient Boosting,-4446.324432681658,12401.343634011142
2025-08-15,4029.3731052020607,Gradient Boosting,-4394.460928144339,12453.207138548461
2025-08-16,4276.303365695106,Gradient Boosting,-4147.530667651295,12700.137399041505
2025-08-17,4276.303365695106,Gradient Boosting,-4147.530667651295,12700.137399041505
2025-08-18,4262.438852064626,Gradient Boosting,-4161.395181281774,12686.272885411026
2025-08-19,1992.5237453334682,Gradient Boosting,-6431.310288012932,10416.357778679869
2025-08-20,4177.021194055976,Gradient Boosting,-4246.812839290425,12600.855227402375
2025-08-21,4022.4634738233826,Gradient Boosting,-4401.370559523018,12446.297507169784
2025-08-22,4029.3731052020607,Gradient Boosting,-4394.460928144339,12453.207138548461
2025-08-23,4276.303365695106,Gradient Boosting,-4147.530667651295,12700.137399041505
2025-08-24,4276.303365695106,Gradient Boosting,-4147.530667651295,12700.137399041505
2025-08-25,4262.438852064626,Gradient Boosting,-4161.395181281774,12686.272885411026
2025-08-26,1992.5237453334682,Gradient Boosting,-6431.310288012932,10416.357778679869
2025-08-27,4177.021194055976,Gradient Boosting,-4246.812839290425,12600.855227402375
2025-08-28,4022.4634738233826,Gradient Boosting,-4401.370559523018,12446.297507169784
2025-08-29,4029.3731052020607,Gradient Boosting,-4394.460928144339,12453.207138548461
2025-08-30,4276.303365695106,Gradient Boosting,-4147.530667651295,12700.137399041505
